Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zimbabwe,-158679.046610041,-199868.41783944768,-206295.2862234974,-169568.03916671136,111873.65467616078,123435.1032155032,86689.2301868752,169458.07241937425,258232.57891501824,93032.8153685494,278366.640926878,295595.5619021735
United Republic of Tanzania,-305440.9418344606,-424608.0382192677,-302909.0628499524,-384215.2132798655,279013.4928367672,403617.6473644135,165556.40971520034,452956.3256079831,619199.0520194699,518311.4947709948,752737.3239233231,774341.1203310762
Kenya,-177080.1295158238,-268339.5939161836,-67430.84796240824,-196963.8983945021,230605.47171344672,319553.4687222584,147116.60598466272,144710.49401009694,414787.97999330965,504008.3353285355,534640.9874162149,545661.7986762348
Equatorial Guinea,-1622.521084638594,459.2146134584941,5100.439066628156,-4159.4452945456815,14141.344962103274,19038.75426101702,12475.910414857874,10851.558020523047,26749.598065938488,20070.566630476267,24182.647422582744,26636.426270563617
Democratic Republic of the Congo,-778608.5986058423,-1032867.30268951,-699363.8623998126,-1040381.7475882132,596819.7930797407,807006.1302831685,204962.96999012897,897230.8562542035,1273771.0339845566,387526.3775381216,1293894.73535116,1508810.0389548466
Cameroon,-206716.9710549345,-237221.964819136,-61758.14252800247,-226610.14584897977,91943.33266534128,172449.3035736744,47169.7098244326,75394.93558293849,287674.3923716972,271107.48219676886,276977.30096916883,317101.9162573705
South Sudan,-276458.03301943606,-518847.0845059665,-172332.00324751667,-352761.1766525337,111293.70383897387,203369.5611043394,14849.20774828619,129646.354253477,298864.341035936,215956.3627893325,383583.6182480472,366604.3199063491
Sao Tome and Principe,140.72632371572388,251.197743996411,382.6065278256818,396.5558909423048,1282.3058064965942,1106.365780779545,931.0164344212776,938.0840637231404,1397.0497997640298,1298.975455695043,1311.981403227245,1798.155954032395
Gabon,-42035.67061901896,-68238.72199824396,-51875.853994573925,-103028.84714937607,78884.68058676836,109348.98609651648,48928.32456098546,113222.75631218751,168484.4949283333,131764.59434996248,167513.38757258534,160024.14972472202
Chad,-445155.6533216341,-722402.380837407,-155931.4764379645,-569829.9368358905,291250.5903664249,490759.87770693854,160941.91074550265,182035.34408744777,763578.7766841399,821933.786412203,910160.4810716336,991909.4260428376
Congo,-47231.44168226199,-121259.82443496802,-83918.12283054259,-148617.3602496439,106322.65913872755,145083.73764985625,65700.38519341362,234088.2342621969,239499.5877157682,186143.00112819104,234573.1689784889,260475.96823650447
Central African Republic,-317458.72087750176,-388226.6721161247,-161992.37667127931,-349744.6689988716,91811.3444724584,198251.4503498747,21698.543757959746,198811.435901564,316977.0355600287,317595.5760413873,313538.1091146948,315139.3739508812
Angola,-422387.2221482803,-628616.9532228895,-579804.257240497,-514820.42462642223,371841.0670056294,403698.66828935366,265585.5434985848,588849.2096944522,793181.0133658382,131164.3858252749,822060.7087322518,874060.8880070046
